date,month,region,category,unit Sold,sales
10/28/2023,October,South America,Footwear,75,7092.81
7/13/2024,July,Africa,Footwear,61,3737.5
2/14/2025,February,Asia,Accessories,50,3555.69
5/5/2024,May,Africa,Women,8,143.73
6/17/2024,June,Africa,Women,12,646.95
10/14/2023,October,Europe,Accessories,51,4631.16
12/22/2023,December,Asia,Accessories,66,3366.84
1/16/2025,January,Asia,Footwear,41,666.8
4/13/2025,April,Asia,Footwear,22,617.27
3/31/2024,March,Africa,Women,9,437.9
12/25/2024,December,South America,Footwear,78,2447.45
1/16/2024,January,Asia,Footwear,79,3579.2
6/8/2025,June,Australia,Women,11,439.63
1/16/2024,January,Africa,Accessories,13,503.15
6/20/2023,June,Europe,Women,56,1019.47
8/8/2024,August,South America,Men,28,2504.44
6/25/2024,June,Australia,Women,89,6438.58
7/23/2024,July,Australia,Men,64,4230.68
5/10/2024,May,Europe,Women,64,4133.26
12/3/2023,December,South America,Men,70,3197.96
12/21/2024,December,Africa,Men,55,4625.41
12/19/2023,December,North America,Women,37,3467.03
8/31/2023,August,South America,Footwear,33,346.68
4/19/2025,April,Europe,Kids,25,428.2
9/14/2024,September,Australia,Footwear,23,1627.2
4/17/2024,April,Africa,Men,60,1874.76
5/24/2025,May,South America,Women,56,5154.99
10/1/2023,October,North America,Women,63,4414.23
1/2/2024,January,North America,Women,8,345.17
8/23/2024,August,Asia,Women,17,805.38
11/25/2023,November,Asia,Kids,95,6857.05
4/8/2025,April,Europe,Accessories,90,2041.81
7/4/2023,July,South America,Men,57,5101.9
5/18/2024,May,South America,Kids,75,782.21
12/24/2023,December,Australia,Footwear,62,6082.52
3/9/2024,March,Australia,Accessories,94,2358.28
11/19/2023,November,Australia,Accessories,11,844.69
10/20/2024,October,Asia,Women,67,910.75
12/18/2023,December,South America,Kids,40,1953.14
1/15/2024,January,South America,Footwear,40,2669.13
9/4/2024,September,North America,Women,56,913.95
10/20/2024,October,Asia,Women,53,2644.51
1/8/2024,January,Africa,Men,85,3168.99
9/4/2024,September,Asia,Accessories,99,5429.35
9/24/2023,September,Africa,Footwear,28,1551.53
3/21/2024,March,North America,Accessories,86,6937.69
